bezirk,total_co2_tons,year,source_url,note
Mitte,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Friedrichshain-Kreuzberg,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Pankow,1450000,2021,https://www.berlin.de/ba-pankow/politik-und-verwaltung/beauftragte/klimaschutz/artikel.1507694.php,BISKO territorial-principle balance; reported as "1.45 Millionen Tonnen CO2-Aequivalente"
Charlottenburg-Wilmersdorf,1777611,2023,https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/umwelt-und-naturschutz/klimaschutz/artikel.712319.php,BISKO territorial-principle balance; reported as "1.777.611 Tonnen CO2-Aequivalent"
Spandau,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Steglitz-Zehlendorf,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Tempelhof-Schöneberg,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Neukölln,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Treptow-Köpenick,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Marzahn-Hellersdorf,,,,partial (2021 update mentioned but no figure published) per S19-12665
Lichtenberg,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
Reinickendorf,,,,not yet measured/published at borough level (per Berlin parliament written response S19-12665)
